tab delimited	contribution																																		
id	version	timestamp	contributor	data_model_version	reference	description																													
17114	2	2021-04-22T00:16:27.735Z	@najmagic	3	10.1130/L580.1	"Added geologic_classes, lithologies, and ages to the locations table. Fix other ages problems. Fix other data formatting issues.  Added other required columns. "																													
>>>>>>>>>>																																			
tab delimited	locations																																		
location	location_type	citations	geologic_classes	lithologies	lat_s	lat_n	lon_w	lon_e	age_low	age_high	age_unit																								
CM2	Michipicoten Island	CM2-1:CM2-2:CM2-3:CM2-4:CM2-5:CM2-6:CM2-7:CM2-8:CM2-9	CM2-1a:CM2-2a:CM2-3a:CM2-4a:CM2-5a:CM2-6a:CM2-7a:CM2-8a:CM2-9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Andesite	47.718965	274.044128	175	1084.35	1086.5	Ma	100	303.8	6.1	1.6	8.9923	1035	9	9	9	0	HT	t	24.4	159.7	0.8	1.6	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB01	Two Island River	SLB01.1:SLB01.2:SLB01.3:SLB01.4:SLB01.5:SLB01.6:SLB01.7:SLB01.8:SLB01.9	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53669	269.06		1086	1091.61	Ma	0	274.5	12.1	2.2	8.9852	541	9	9	9	0	hem	t	7.5	179.9	1.1	2.2	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB01	Two Island River	SLB01.1:SLB01.2:SLB01.3:SLB01.4:SLB01.5:SLB01.6:SLB01.7:SLB01.8:SLB01.9	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53669	269.06		1086	1091.61	Ma	0	274.2	13.5	3.1	8.972	285	9	9	9	0	mag	t	7.9	180.6	1.6	3.2	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB01	Two Island River	SLB01.1:SLB01.2:SLB01.3:SLB01.4:SLB01.5:SLB01.6:SLB01.7:SLB01.8:SLB01.9	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53669	269.06		1086	1091.61	Ma	100	270.8	25.2	2.2	8.9851	539	9	9	9	0	hem	t	10.3	187.5	1.3	2.4	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB01	Two Island River	SLB01.1:SLB01.2:SLB01.3:SLB01.4:SLB01.5:SLB01.6:SLB01.7:SLB01.8:SLB01.9	SLB01.1a:SLB01.2a:SLB01.3a:SLB01.4a:SLB01.5a:SLB01.6a:SLB01.7a:SLB01.8a:SLB01.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53669	269.06		1086	1091.61	Ma	100	270.2	26.6	3.1	8.972	285	9	9	9	0	mag	t	10.5	188.5	1.8	3.4	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB02	Two Island River	SLB02.1:SLB02.2:SLB02.3:SLB02.4:SLB02.5:SLB02.6:SLB02.7:SLB02.8:SLB02.9	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53669	269.06	4.3	1086	1091.61	Ma	0	275.2	12.2	3.8	8.9571	186	9	9	9	0	hem	t	8.1	179.4	2	3.9	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB02	Two Island River	SLB02.1:SLB02.2:SLB02.3:SLB02.4:SLB02.5:SLB02.6:SLB02.7:SLB02.8:SLB02.9	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53669	269.06	4.3	1086	1091.61	Ma	0	278.1	14.3	4	8.9518	166	9	9	9	0	mag	t	10.8	178	2.1	4.1	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB02	Two Island River	SLB02.1:SLB02.2:SLB02.3:SLB02.4:SLB02.5:SLB02.6:SLB02.7:SLB02.8:SLB02.9	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53669	269.06	4.3	1086	1091.61	Ma	100	271.6	25.5	3.8	8.9572	187	9	9	9	0	hem	t	10.9	187.1	2.2	4.1	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB02	Two Island River	SLB02.1:SLB02.2:SLB02.3:SLB02.4:SLB02.5:SLB02.6:SLB02.7:SLB02.8:SLB02.9	SLB02.1a:SLB02.2a:SLB02.3a:SLB02.4a:SLB02.5a:SLB02.6a:SLB02.7a:SLB02.8a:SLB02.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53669	269.06	4.3	1086	1091.61	Ma	100	274.2	28.1	4	8.9516	165	9	9	9	0	mag	t	13.8	186.3	2.4	4.4	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB03	Two Island River	SLB03.1:SLB03.2:SLB03.3:SLB03.4:SLB03.5:SLB03.6:SLB03.7:SLB03.8	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53439	269.065	68.7	1086	1091.61	Ma	0	296.3	35.5	4.7	7.9506	142	8	8	8	0	hem	t	32	173.6	3.1	5.4	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB03	Two Island River	SLB03.1:SLB03.2:SLB03.3:SLB03.4:SLB03.5:SLB03.6:SLB03.7:SLB03.8	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53439	269.065	68.7	1086	1091.61	Ma	0	295	35.3	3.9	7.9651	201	8	8	8	0	mag	t	31	174.5	2.6	4.5	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB03	Two Island River	SLB03.1:SLB03.2:SLB03.3:SLB03.4:SLB03.5:SLB03.6:SLB03.7:SLB03.8	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53439	269.065	68.7	1086	1091.61	Ma	100	291.2	51.7	4.7	7.9508	142	8	8	8	0	hem	n	36.9	188.8	4.4	6.4	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB03	Two Island River	SLB03.1:SLB03.2:SLB03.3:SLB03.4:SLB03.5:SLB03.6:SLB03.7:SLB03.8	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53439	269.065	68.7	1086	1091.61	Ma	100	289.5	51.3	3.9	7.9656	204	8	8	8	0	mag	n	35.6	189.6	3.6	5.3	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB04	Two Island River	SLB04.1:SLB04.2:SLB04.3:SLB04.4:SLB04.5:SLB04.6:SLB04.7:SLB04.8	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53417	269.06516	76.4	1086	1091.61	Ma	0	295.9	37.7	2.9	7.9804	357	8	8	8	0	hem	t	32.8	175.2	2	3.4	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB04	Two Island River	SLB04.1:SLB04.2:SLB04.3:SLB04.4:SLB04.5:SLB04.6:SLB04.7:SLB04.8	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53417	269.06516	76.4	1086	1091.61	Ma	0	297.8	37	2.7	7.9837	430	8	8	8	0	mag	t	33.7	173.3	1.9	3.2	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB04	Two Island River	SLB04.1:SLB04.2:SLB04.3:SLB04.4:SLB04.5:SLB04.6:SLB04.7:SLB04.8	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53417	269.06516	76.4	1086	1091.61	Ma	100	290.2	53.8	2.9	7.9804	357	8	8	8	0	hem	n	37.5	191.5	2.8	4.1	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB04	Two Island River	SLB04.1:SLB04.2:SLB04.3:SLB04.4:SLB04.5:SLB04.6:SLB04.7:SLB04.8	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53417	269.06516	76.4	1086	1091.61	Ma	100	292.9	53.3	2.7	7.9836	427	8	8	8	0	mag	n	39	189.3	2.6	3.8	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB05	Two Island River	SLB05.1:SLB05.2:SLB05.3:SLB05.4:SLB05.6:SLB05.7:SLB05.8:SLB05.9	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53415	269.06504		1086	1091.61	Ma	0	292.3	39.4	3.7	7.9686	223	8	8	8	0	hem	t	31.1	178.9	2.7	4.4	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB05	Two Island River	SLB05.1:SLB05.2:SLB05.3:SLB05.4:SLB05.6:SLB05.7:SLB05.8:SLB05.9	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53415	269.06504		1086	1091.61	Ma	0	294.5	39.2	3.7	7.9681	219	8	8	8	0	mag	t	32.5	177.1	2.6	4.4	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB05	Two Island River	SLB05.1:SLB05.2:SLB05.3:SLB05.4:SLB05.6:SLB05.7:SLB05.8:SLB05.9	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53415	269.06504		1086	1091.61	Ma	100	284.9	55	3.7	7.9686	223	8	8	8	0	hem	t	34.7	195.9	3.7	5.2	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB05	Two Island River	SLB05.1:SLB05.2:SLB05.3:SLB05.4:SLB05.6:SLB05.7:SLB05.8:SLB05.9	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53415	269.06504		1086	1091.61	Ma	100	287.9	55.2	3.8	7.968	218	8	8	8	0	mag	n	36.8	194.3	3.8	5.4	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB06	Two Island River	SLB06.1:SLB06.2:SLB06.3:SLB06.4:SLB06.5:SLB06.6:SLB06.7:SLB06.8:SLB06.9	SLB06.1a:SLB06.2a:SLB06.3a:SLB06.4a:SLB06.5a:SLB06.6a:SLB06.7a:SLB06.8a:SLB06.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53435	269.06495		1086	1091.61	Ma	0	291.1	37.3	2.8	8.9763	337	9	9	9	0	hem	t	29.3	178.5	1.9	3.3	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB06	Two Island River	SLB06.1:SLB06.2:SLB06.3:SLB06.4:SLB06.5:SLB06.6:SLB06.7:SLB06.8:SLB06.9	SLB06.1a:SLB06.2a:SLB06.3a:SLB06.4a:SLB06.5a:SLB06.6a:SLB06.7a:SLB06.8a:SLB06.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53435	269.06495		1086	1091.61	Ma	0	290.4	37.2	2.8	8.9762	336	9	9	9	0	mag	t	28.8	179	1.9	3.3	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB06	Two Island River	SLB06.1:SLB06.2:SLB06.3:SLB06.4:SLB06.5:SLB06.6:SLB06.7:SLB06.8:SLB06.9	SLB06.1a:SLB06.2a:SLB06.3a:SLB06.4a:SLB06.5a:SLB06.6a:SLB06.7a:SLB06.8a:SLB06.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53435	269.06495		1086	1091.61	Ma	100	284.1	52.8	2.8	8.9763	337	9	9	9	0	hem	t	32.9	194.3	2.7	3.9	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB06	Two Island River	SLB06.1:SLB06.2:SLB06.3:SLB06.4:SLB06.5:SLB06.6:SLB06.7:SLB06.8:SLB06.9	SLB06.1a:SLB06.2a:SLB06.3a:SLB06.4a:SLB06.5a:SLB06.6a:SLB06.7a:SLB06.8a:SLB06.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53435	269.06495		1086	1091.61	Ma	100	283.2	52.6	2.8	8.9763	337	9	9	9	0	mag	t	32.2	194.7	2.7	3.9	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB07	Two Island River	SLB07.10:SLB07.1:SLB07.2:SLB07.3:SLB07.4:SLB07.5:SLB07.7:SLB07.8:SLB07.9	SLB07.10a:SLB07.1a:SLB07.2a:SLB07.3a:SLB07.4a:SLB07.5a:SLB07.7a:SLB07.8a:SLB07.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.5337	269.06557		1086	1091.61	Ma	0	291.8	40.8	6.7	8.8675	60	9	9	9	0	hem	t	31.5	180.1	4.9	8.1	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB07	Two Island River	SLB07.10:SLB07.1:SLB07.2:SLB07.3:SLB07.4:SLB07.5:SLB07.7:SLB07.8:SLB07.9	SLB07.10a:SLB07.1a:SLB07.2a:SLB07.3a:SLB07.4a:SLB07.5a:SLB07.7a:SLB07.8a:SLB07.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.5337	269.06557		1086	1091.61	Ma	0	291.9	41	6.5	8.8728	63	9	9	9	0	mag	t	31.7	180.2	4.8	7.9	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB07	Two Island River	SLB07.10:SLB07.1:SLB07.2:SLB07.3:SLB07.4:SLB07.5:SLB07.7:SLB07.8:SLB07.9	SLB07.10a:SLB07.1a:SLB07.2a:SLB07.3a:SLB07.4a:SLB07.5a:SLB07.7a:SLB07.8a:SLB07.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.5337	269.06557		1086	1091.61	Ma	100	283.8	56.4	6.7	8.8677	60	9	9	9	0	hem	t	34.9	197.9	7	9.7	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB07	Two Island River	SLB07.10:SLB07.1:SLB07.2:SLB07.3:SLB07.4:SLB07.5:SLB07.7:SLB07.8:SLB07.9	SLB07.10a:SLB07.1a:SLB07.2a:SLB07.3a:SLB07.4a:SLB07.5a:SLB07.7a:SLB07.8a:SLB07.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.5337	269.06557		1086	1091.61	Ma	100	283.9	56.6	6.5	8.8729	63	9	9	9	0	mag	n	35.1	198.1	6.8	9.4	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB08	Two Island River	SLB08.10:SLB08.1:SLB08.2:SLB08.3:SLB08.4:SLB08.5:SLB08.6:SLB08.7:SLB08.8:SLB08.9	SLB08.10a:SLB08.1a:SLB08.2a:SLB08.3a:SLB08.4a:SLB08.5a:SLB08.6a:SLB08.7a:SLB08.8a:SLB08.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53328	269.06571		1086	1091.61	Ma	0	283.2	44.3	21.5	8.5076	6	10	10	10	0	hem	t	27.5	188.5	17	27	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB08	Two Island River	SLB08.10:SLB08.1:SLB08.2:SLB08.3:SLB08.4:SLB08.5:SLB08.6:SLB08.7:SLB08.8:SLB08.9	SLB08.10a:SLB08.1a:SLB08.2a:SLB08.3a:SLB08.4a:SLB08.5a:SLB08.6a:SLB08.7a:SLB08.8a:SLB08.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53328	269.06571		1086	1091.61	Ma	0	283.9	43.6	21.5	8.4965	6	10	10	10	0	mag	t	27.6	187.5	16.7	26.8	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB08	Two Island River	SLB08.10:SLB08.1:SLB08.2:SLB08.3:SLB08.4:SLB08.5:SLB08.6:SLB08.7:SLB08.8:SLB08.9	SLB08.10a:SLB08.1a:SLB08.2a:SLB08.3a:SLB08.4a:SLB08.5a:SLB08.6a:SLB08.7a:SLB08.8a:SLB08.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53328	269.06571		1086	1091.61	Ma	100	270.9	58.3	21.5	8.5078	6	10	10	10	0	hem	t	28.2	207.2	23.5	31.8	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB08	Two Island River	SLB08.10:SLB08.1:SLB08.2:SLB08.3:SLB08.4:SLB08.5:SLB08.6:SLB08.7:SLB08.8:SLB08.9	SLB08.10a:SLB08.1a:SLB08.2a:SLB08.3a:SLB08.4a:SLB08.5a:SLB08.6a:SLB08.7a:SLB08.8a:SLB08.9a	i	g	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	This study	Extrusive	Lava Flow	Basalt	47.53328	269.06571		1086	1091.61	Ma	100	272.2	57.8	21.6	8.4957	6	10	10	10	0	mag	t	28.6	206	23.3	31.7	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
SLB09	Two Island River	SLB09.1:SLB09.3:SLB09.4:SLB09.5:SLB09.6:SLB09.7:SLB09.8	SLB09.1a:SLB09.3a:SLB09.4a:SLB09.5a:SLB09.6a:SLB09.7a:SLB09.8a	i	g	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	This study	Extrusive	Lava Flow	Basalt	47.53289	269.0659		1086	1091.61	Ma	0	287.4	42.3	10.7	6.8155	33	7	7	7	0	hem	t	29.3	184.3	8.1	13.2	Site direction included in results table	pmagpy-3.4.1: demag_gui.v.3.0	Fairchild:Swanson-Hysell:Sprain
